,junction_id,branch_id,lane_id,lane_sequence_id,sequence_head_lane_id,num_sequence_head_lane_ids
0,RYcT,Sy2KY,lXo5,0,8V6+,1
1,RYcT,Sy2KY,8V6+,0,8V6+,1
2,RYcT,Sy2KY,bW6+,1,bW6+,1
3,RYcT,Sy2KY,EYo5,1,bW6+,1
4,RYcT,Sy2KY,6W6+,2,6W6+,1
5,RYcT,Sy2KY,jYo5,2,6W6+,1
6,RYcT,NPJXi,O09S,6,5cF2,1
7,RYcT,NPJXi,5cF2,6,5cF2,1
8,RYcT,NPJXi,hfgF,6,5cF2,1
9,RYcT,NPJXi,/iRV,7,YdF2,1
10,RYcT,NPJXi,YdF2,7,YdF2,1
11,RYcT,NPJXi,AggF,7,YdF2,1
12,RYcT,Edzt0,xsPT,8,7/jP,1
13,RYcT,Edzt0,dfr0,8,7/jP,1
14,RYcT,Edzt0,7/jP,8,7/jP,1
15,RYcT,Edzt0,9E7T,9,c/jP,1
16,RYcT,Edzt0,SsPT,9,c/jP,1
17,RYcT,Edzt0,c/jP,9,c/jP,1
18,RYcT,WNPJXi,ZAJ6,10,ZAJ6,1
19,RYcT,WNPJXi,w8g9,10,ZAJ6,1
20,RYcT,WNPJXi,0ct5,10,ZAJ6,1
21,RYcT,WNPJXi,N4Gm,10,ZAJ6,1
22,RYcT,WNPJXi,EwNX,10,ZAJ6,1
23,RYcT,WNPJXi,CBiG,10,ZAJ6,1
24,RYcT,WNPJXi,lQSv,10,ZAJ6,1
27,qnJy,StDjm,GNgT,11,y3uS,1
28,qnJy,StDjm,8Jjx,11,y3uS,1
29,qnJy,StDjm,4ZaL,11,y3uS,1
30,qnJy,StDjm,XQbC,11,y3uS,1
31,qnJy,StDjm,y3uS,11,y3uS,1
32,qnJy,StDjm,T3uS,12,T3uS,1
33,qnJy,StDjm,dJjx,12,T3uS,1
34,qnJy,StDjm,azKs,12,T3uS,1
35,qnJy,StDjm,S0Yy,12,T3uS,1
36,qnJy,StDjm,nMgT,12,T3uS,1
37,qnJy,StDjm,0c3b,12,T3uS,1
38,qnJy,StDjm,UhC0,12,T3uS,1
39,qnJy,NQxfR,YFUz,13,YFUz,1
40,qnJy,NQxfR,ne+2,13,YFUz,1
41,qnJy,NQxfR,Ie+2,14,5EUz,1
42,qnJy,NQxfR,5EUz,14,5EUz,1
43,qnJy,NQxfR,pd+2,15,aEUz,1
44,qnJy,NQxfR,aEUz,15,aEUz,1
45,ctKJ,E6WDG,9x/Q,19,aVLS,1
46,ctKJ,E6WDG,Yt7t,19,aVLS,1
52,ctKJ,E6WDG,I0cX,19,aVLS,1
53,ctKJ,E6WDG,lWJX,19,aVLS,1
54,ctKJ,E6WDG,RJSO,19,aVLS,1
55,ctKJ,E6WDG,aVLS,19,aVLS,1
56,ctKJ,E6WDG,4SLN,20,7ULS,1
57,ctKJ,E6WDG,oZs2,20,7ULS,1
58,ctKJ,E6WDG,7ULS,20,7ULS,1
59,ctKJ,E6WDG,GWJX,20,7ULS,1
60,ctKJ,E6WDG,yISO,20,7ULS,1
61,ctKJ,E6WDG,ex/Q,20,7ULS,1
62,ctKJ,E6WDG,Y4as,21,cULS,1
63,ctKJ,E6WDG,/w/Q,21,cULS,1
64,ctKJ,E6WDG,TISO,21,cULS,1
65,ctKJ,E6WDG,I/7V,21,cULS,1
66,ctKJ,E6WDG,cULS,21,cULS,1
67,ctKJ,E6WDG,nVJX,21,cULS,1
68,Luda,NtUCt,3BET,22,3BET,1
69,Luda,NtUCt,Ph2V,22,3BET,1
70,DoQH,SXep7,uTFZ,24,1WHi,1
71,DoQH,SXep7,vRim,24,1WHi,1
72,DoQH,SXep7,1WHi,24,1WHi,1
73,DoQH,SXep7,WWHi,25,WWHi,1
74,DoQH,SXep7,e+cf,25,WWHi,1
75,DoQH,SXep7,PTFZ,25,WWHi,1
76,DoQH,SXep7,+js+,26,3VHi,1
77,DoQH,SXep7,3VHi,26,3VHi,1
78,DoQH,SXep7,wSFZ,26,3VHi,1
79,DoQH,SXep7,YVHi,27,YVHi,1
80,DoQH,SXep7,RSFZ,27,YVHi,1
81,DoQH,SXep7,eJ8d,27,YVHi,1
82,DoQH,NAc+E,hiPr,28,LXvy,1
83,DoQH,NAc+E,LXvy,28,LXvy,1
84,DoQH,NAc+E,ORvO,28,LXvy,1
85,DoQH,NAc+E,qXvy,29,qXvy,1
86,DoQH,NAc+E,AjPr,29,qXvy,1
87,DoQH,NAc+E,urfv,29,qXvy,1
88,DoQH,NAc+E,JYvy,30,JYvy,1
