junction_id,branch_id,lane_id
RYcT,Sy2KY,8V6+
RYcT,Sy2KY,bW6+
RYcT,Sy2KY,6W6+
RYcT,NPJXi,5cF2
RYcT,NPJXi,YdF2
RYcT,Edzt0,7/jP
RYcT,Edzt0,c/jP
RYcT,WNPJXi,ZAJ6
qnJy,StDjm,y3uS
qnJy,StDjm,T3uS
qnJy,NQxfR,YFUz
qnJy,NQxfR,5EUz
qnJy,NQxfR,aEUz
ctKJ,E6WDG,aVLS
ctKJ,E6WDG,7ULS
ctKJ,E6WDG,cULS
Luda,NtUCt,3BET
DoQH,SXep7,1WHi
DoQH,SXep7,WWHi
DoQH,SXep7,3VHi
DoQH,SXep7,YVHi
DoQH,NAc+E,LXvy
DoQH,NAc+E,qXvy
DoQH,NAc+E,JYvy
DoQH,NAc+E,oYvy
ECHt,E+/YT,Bm9O
ECHt,E+/YT,il9O
ECHt,E+/YT,Dl9O
ECHt,E+/YT,kk9O
ECHt,W9rSL,/TlD
ECHt,W9rSL,eUlD
ECHt,W9rSL,9UlD
ECHt,W9rSL,cVlD
FToR,EIyZ/,89HH
FToR,EIyZ/,d9HH
FToR,EIyZ/,+8HH
FToR,EIyZ/,f8HH
FToR,W6VZ4,jMm1
FToR,W6VZ4,EMm1
FToR,W6VZ4,lLm1
FToR,W6VZ4,GLm1
FToR,Shq4c,8OiE
FToR,Shq4c,FHu2
FToR,Shq4c,6PiE
FToR,N/JZp,YkSE
FToR,N/JZp,pXNd
FToR,N/JZp,poec
U6Ym,N8W33,CPtm
U6Ym,N8W33,lPtm
U6Ym,EqqbQ,DvGy
U6Ym,EqqbQ,kuGy
U6Ym,EqqbQ,FuGy
U6Ym,EqqbQ,mtGy
U6Ym,WuX82,+55w
U6Ym,WuX82,d65w
U6Ym,WuX82,865w
U6Ym,WuX82,b75w
E0Us,NAQ7m,k3bp
E0Us,NAQ7m,F3bp
E0Us,ET60+,VUqQ
E0Us,ET60+,2TqQ
E0Us,ET60+,XTqQ
E0Us,ET60+,4SqQ
E0Us,WFGY0,cKUZ
E0Us,WFGY0,9JUZ
E0Us,WFGY0,eJUZ
E0Us,WFGY0,/IUZ
3Ccg,NFThX,hINg
3Ccg,NFThX,CINg
3Ccg,NFThX,jHNg
3Ccg,EB35n,ake8
3Ccg,EB35n,7je8
3Ccg,EB35n,cje8
3Ccg,EB35n,9ie8
3Ccg,S8XK4,vLqW
3Ccg,S8XK4,QLqW
3Ccg,S8XK4,vijX
3Ccg,WX0Uk,iD65
3Ccg,WX0Uk,BE65
3Ccg,WX0Uk,gE65
3Ccg,WX0Uk,/E65
y4Ss,Evy5c,AxmM
y4Ss,Evy5c,fxmM
y4Ss,Evy5c,+xmM
y4Ss,WOuys,H+dt
y4Ss,WOuys,m+dt
LrDx,NPYIq,jZCn
LrDx,NPYIq,eR/Y
LrDx,NPYIq,/Q/Y
LrDx,S4QRn,kgCj
LrDx,S4QRn,DhCj
LrDx,S4QRn,emZY
